---
tournaments: 115
events: 236
eventsWithDraws: 40
eventsWithoutDraws: 196
draws: 157
brackets: 460
results: 2660
---
tournamentCode	eventId	drawId	bracketId	gender	eventName	drawName	bracketName	rounds	results
21-34233	1	9	1	W	Women's Open Singles	Flight A	MAIN	16,QF,SF,F	15
21-34233	1	10	1	W	Women's Open Singles	Flight A Backdraw	MAIN	QF,SF,F	7
21-34233	2	1	1	W	Women's Open Doubles	Flight A	MAIN	16,QF,SF,F	15
21-34233	2	2	1	W	Women's Open Doubles	Flight A Backdraw	MAIN	QF,SF,F	7
21-34233	2	3	1	W	Women's Open Doubles	Flight B	MAIN	16,QF,SF,F	15
21-34233	2	4	1	W	Women's Open Doubles	Flight B Backdraw	MAIN	QF,SF,F	7
21-34233	2	5	1	W	Women's Open Doubles	Flight C	MAIN	16,QF,SF,F	15
21-34233	2	6	1	W	Women's Open Doubles	Flight C Backdraw	MAIN	SF,F	3
21-34853	1			M	Men's Open Singles				
21-34853	2			M	Men's Open Doubles				
21-35590	1			W	Women's Open Singles				
21-35590	2			W	Women's Open Doubles				
21-36446	1			M	Men's Open Singles				
21-36446	2			M	Men's Open Doubles				
21-39721	1	1	1	M	Men's Open Singles	Draw	MAIN	128,64,32,16,QF,SF,F	127
21-39721	2	1	1	M	Men's Open Doubles	Main	MAIN	64,32,16,QF,SF,F	63
21-41355	1	1	1	M	Men's Open Singles	Flight A	EAST	16,QF,SF,F	15
21-41355	1	1	2	M	Men's Open Singles	Flight A	WEST	QF,SF,F	7
21-41355	1	1	3	M	Men's Open Singles	Flight A	NORTH	SF,F	3
21-41355	1	1	4	M	Men's Open Singles	Flight A	3-4 Playoff	F	1
21-41355	1	1	5	M	Men's Open Singles	Flight A	SOUTH	SF,F	3
21-41355	1	1	6	M	Men's Open Singles	Flight A	SOUTHWEST	F	1
21-41355	1	1	7	M	Men's Open Singles	Flight A	NORTHWEST	F	1
21-41355	1	1	8	M	Men's Open Singles	Flight A	SOUTHEAST	F	1
21-41355	1	2	1	M	Men's Open Singles	B Singles	EAST	QF,SF,F	7
21-41355	1	2	2	M	Men's Open Singles	B Singles	WEST	SF,F	3
21-41355	1	2	3	M	Men's Open Singles	B Singles	3-4 Playoff	F	1
21-41355	1	2	4	M	Men's Open Singles	B Singles	SOUTH	F	1
21-41355	2	1	1	M	Men's Open Doubles	Draw	EAST	16,QF,SF,F	15
21-41355	2	1	2	M	Men's Open Doubles	Draw	WEST	QF,SF,F	7
21-41355	2	1	3	M	Men's Open Doubles	Draw	NORTH	SF,F	3
21-41355	2	1	4	M	Men's Open Doubles	Draw	3-4 Playoff	F	1
21-41355	2	1	5	M	Men's Open Doubles	Draw	SOUTH	SF,F	3
21-41355	2	1	6	M	Men's Open Doubles	Draw	SOUTHWEST	F	1
21-41355	2	1	7	M	Men's Open Doubles	Draw	NORTHWEST	F	1
21-41355	2	1	8	M	Men's Open Doubles	Draw	SOUTHEAST	F	1
21-41928	1			W	Women's Open Singles				
21-41928	2			W	Women's Open Doubles				
21-42333	1			M	Men's Open Singles				
21-42333	2			M	Men's Open Doubles				
21-42923	1			W	Women's Open Singles				
21-42923	2			W	Women's Open Doubles				
21-43648	1			W	Women's Open Singles				
21-43648	2			W	Women's Open Doubles				
21-46458	1			W	Women's Open Singles				
21-46458	2			W	Women's Open Doubles				
21-46904	1	1	1	W	Women's Open Singles	Maroon	EAST	QF,SF,F	7
21-46904	1	1	2	W	Women's Open Singles	Maroon	WEST	SF,F	3
21-46904	1	1	3	W	Women's Open Singles	Maroon	3-4 Playoff	F	1
21-46904	1	1	4	W	Women's Open Singles	Maroon	SOUTH	F	1
21-46904	1	2	1	W	Women's Open Singles	Gold	EAST	QF,SF,F	7
21-46904	1	2	2	W	Women's Open Singles	Gold	WEST	SF,F	3
21-46904	1	2	3	W	Women's Open Singles	Gold	3-4 Playoff	F	1
21-46904	1	2	4	W	Women's Open Singles	Gold	SOUTH	F	1
21-46904	1	3	1	W	Women's Open Singles	Powell	EAST	QF,SF,F	7
21-46904	1	3	2	W	Women's Open Singles	Powell	WEST	SF,F	3
21-46904	1	3	3	W	Women's Open Singles	Powell	3-4 Playoff	F	1
21-46904	1	3	4	W	Women's Open Singles	Powell	SOUTH	F	1
21-46904	1	4	1	W	Women's Open Singles	Acorn	EAST	QF,SF,F	7
21-46904	1	4	2	W	Women's Open Singles	Acorn	WEST	SF,F	3
21-46904	1	4	3	W	Women's Open Singles	Acorn	3-4 Playoff	F	1
21-46904	1	4	4	W	Women's Open Singles	Acorn	SOUTH	F	1
21-46904	1	5	1	W	Women's Open Singles	Oak	EAST	QF,SF,F	7
21-46904	1	5	2	W	Women's Open Singles	Oak	WEST	SF,F	3
21-46904	1	5	3	W	Women's Open Singles	Oak	3-4 Playoff	F	1
21-46904	1	5	4	W	Women's Open Singles	Oak	SOUTH	F	1
21-46904	1	6	1	W	Women's Open Singles	Phoenix	EAST	QF,SF,F	7
21-46904	1	6	2	W	Women's Open Singles	Phoenix	WEST	SF,F	3
21-46904	1	6	3	W	Women's Open Singles	Phoenix	3-4 Playoff	F	1
21-46904	1	6	4	W	Women's Open Singles	Phoenix	SOUTH	F	1
21-46904	1	7	1	W	Women's Open Singles	Extra Matches	MAIN	QF,SF,F	7
21-46904	2	1	1	W	Women's Open Doubles	Maroon	EAST	QF,SF,F	7
21-46904	2	1	2	W	Women's Open Doubles	Maroon	WEST	SF,F	3
21-46904	2	1	3	W	Women's Open Doubles	Maroon	3-4 Playoff	F	1
21-46904	2	1	4	W	Women's Open Doubles	Maroon	SOUTH	F	1
21-46904	2	2	1	W	Women's Open Doubles	Gold	EAST	QF,SF,F	7
21-46904	2	2	2	W	Women's Open Doubles	Gold	WEST	SF,F	3
21-46904	2	2	3	W	Women's Open Doubles	Gold	3-4 Playoff	F	1
21-46904	2	2	4	W	Women's Open Doubles	Gold	SOUTH	F	1
21-46904	2	3	1	W	Women's Open Doubles	Powell	EAST	QF,SF,F	7
21-46904	2	3	2	W	Women's Open Doubles	Powell	WEST	SF,F	3
21-46904	2	3	3	W	Women's Open Doubles	Powell	3-4 Playoff	F	1
21-46904	2	3	4	W	Women's Open Doubles	Powell	SOUTH	F	1
21-47231	1			M	Men's Open Singles				
21-47231	2			M	Men's Open Doubles				
21-47655	1	1	1	W	Women's Open Singles	Crimson	EAST	16,QF,SF,F	15
21-47655	1	1	2	W	Women's Open Singles	Crimson	WEST	QF,SF,F	7
21-47655	1	1	3	W	Women's Open Singles	Crimson	NORTH	SF,F	3
21-47655	1	1	4	W	Women's Open Singles	Crimson	3-4 Playoff	F	1
21-47655	1	1	5	W	Women's Open Singles	Crimson	SOUTH	SF,F	3
21-47655	1	1	6	W	Women's Open Singles	Crimson	SOUTHWEST	F	1
21-47655	1	1	7	W	Women's Open Singles	Crimson	NORTHWEST	F	1
21-47655	1	1	8	W	Women's Open Singles	Crimson	SOUTHEAST	F	1
21-47655	1	2	1	W	Women's Open Singles	White	EAST	16,QF,SF,F	15
21-47655	1	2	2	W	Women's Open Singles	White	WEST	QF,SF,F	7
21-47655	1	2	3	W	Women's Open Singles	White	NORTH	SF,F	3
21-47655	1	2	4	W	Women's Open Singles	White	3-4 Playoff	F	1
21-47655	1	2	5	W	Women's Open Singles	White	SOUTH	SF,F	3
21-47655	1	2	6	W	Women's Open Singles	White	SOUTHWEST	F	1
21-47655	1	2	7	W	Women's Open Singles	White	NORTHWEST	F	1
21-47655	1	2	8	W	Women's Open Singles	White	SOUTHEAST	F	1
